Date,Ticker,Volatility_20d,RSI_14d
2019-01-02,BYDDY,,
2019-01-03,BYDDY,,0.0
2019-01-04,BYDDY,,10.501755023867972
2019-01-07,BYDDY,,10.981110658601665
2019-01-08,BYDDY,,25.871766103961633
2019-01-09,BYDDY,,22.822227092290532
2019-01-10,BYDDY,,21.27876319760344
2019-01-11,BYDDY,,20.93832222220317
2019-01-14,BYDDY,,16.83619339838343
2019-01-15,BYDDY,,22.167907263460265
2019-01-16,BYDDY,,25.210713186439918
2019-01-17,BYDDY,,20.166106859928718
2019-01-18,BYDDY,,24.183675730618177
2019-01-22,BYDDY,,23.220585972625358
2019-01-23,BYDDY,,31.69477427619863
2019-01-24,BYDDY,,39.91358930860709
2019-01-25,BYDDY,,45.164190791957516
2019-01-28,BYDDY,,42.79116561652444
2019-01-29,BYDDY,,40.13672465270793
2019-01-30,BYDDY,,38.308763279042594
2019-01-31,BYDDY,0.029395344388291618,44.50578119440712
2019-02-01,BYDDY,0.027365475885694646,48.047967713159835
2019-02-04,BYDDY,0.02611918233503971,53.5245945213115
2019-02-05,BYDDY,0.026411335470384798,59.922727922314664
2019-02-06,BYDDY,0.023390329058994058,54.93625319699549
2019-02-07,BYDDY,0.02225231079202509,49.04918233575837
2019-02-08,BYDDY,0.021989663614623036,43.97423223152958
2019-02-11,BYDDY,0.02236312046765048,52.483153326655724
2019-02-12,BYDDY,0.019435499602609478,64.15026286209621
2019-02-13,BYDDY,0.020324542902781934,72.53119249076408
2019-02-14,BYDDY,0.020640337857171776,76.71803265269602
2019-02-15,BYDDY,0.017216624211018324,63.87887604775329
2019-02-19,BYDDY,0.01827676379853958,54.92922028900829
2019-02-20,BYDDY,0.018064506018920783,59.532730162743704
2019-02-21,BYDDY,0.0178323371439211,56.38482957756112
2019-02-22,BYDDY,0.017199032882189474,57.254217883473586
2019-02-25,BYDDY,0.022550013839054996,74.5899883416798
2019-02-26,BYDDY,0.024022293269130194,60.31845512326736
2019-02-27,BYDDY,0.025352243535498607,49.60958814693526
2019-02-28,BYDDY,0.02521608842482245,50.755955969758524
2019-03-01,BYDDY,0.02512541256514849,51.01313386567536
2019-03-04,BYDDY,0.026370817990445414,40.90675251108774
2019-03-05,BYDDY,0.026566367894477437,48.13587354740714
2019-03-06,BYDDY,0.026396550778870303,46.05544432154105
2019-03-07,BYDDY,0.026284481433906937,45.21004752095259
2019-03-08,BYDDY,0.027688585067793592,33.58982420251071
2019-03-11,BYDDY,0.027543739201698097,33.98921866415901
2019-03-12,BYDDY,0.02730090455455059,37.46228158997043
2019-03-13,BYDDY,0.02636955711222419,33.63396303720603
2019-03-14,BYDDY,0.025137153134549225,38.01897065595947
2019-03-15,BYDDY,0.025856259129178244,53.70520279767104
2019-03-18,BYDDY,0.025829116236072928,61.090879162135714
2019-03-19,BYDDY,0.025379198580454662,59.40825241363455
2019-03-20,BYDDY,0.02524104783041221,62.94109868904695
2019-03-21,BYDDY,0.02518682875782035,64.14140151512044
2019-03-22,BYDDY,0.025193874478772176,62.39262096889713
2019-03-25,BYDDY,0.019208001959490805,56.47079027833535
2019-03-26,BYDDY,0.017903961278603112,57.8553270763762
2019-03-27,BYDDY,0.019784956550915864,32.4482881317186
2019-03-28,BYDDY,0.019730918698884766,31.9425325533427
2019-03-29,BYDDY,0.019724559901275782,31.9425325533427
2019-04-01,BYDDY,0.0190113556268823,45.05543517780198
2019-04-02,BYDDY,0.01897262274248513,55.40152835850601
2019-04-03,BYDDY,0.019242728215137457,62.23870426202637
2019-04-04,BYDDY,0.01937295787818995,66.66158762354206
2019-04-05,BYDDY,0.016817956125734397,67.53896407728737
2019-04-08,BYDDY,0.01683547491874412,70.7911729111063
2019-04-09,BYDDY,0.016837590545955867,73.31513086621916
2019-04-10,BYDDY,0.016679162588688373,79.10281900839763
2019-04-11,BYDDY,0.017212270773637656,67.02591528895655
2019-04-12,BYDDY,0.015867707951475334,69.69516889748822
2019-04-15,BYDDY,0.015320974068173648,70.61016529125592
2019-04-16,BYDDY,0.015293850886149436,69.00704866923124
2019-04-17,BYDDY,0.028642653298408975,89.40454461758915
2019-04-18,BYDDY,0.029307059488999376,77.40804234628975
2019-04-22,BYDDY,0.029338268936497634,75.08309582025859
2019-04-23,BYDDY,0.029498947884998142,67.65834161690245
2019-04-24,BYDDY,0.030513025640414627,54.29050207800155
2019-04-25,BYDDY,0.02877935523868177,44.6155390937579
2019-04-26,BYDDY,0.028752887199348792,48.6746244084758
2019-04-29,BYDDY,0.02883475282129947,46.826762930206755
2019-04-30,BYDDY,0.028669666478884515,48.75104312052868
2019-05-01,BYDDY,0.028495225289661297,48.414043647588365
2019-05-02,BYDDY,0.02836792062228924,48.822245006866446
2019-05-03,BYDDY,0.02836843684364529,55.344544254032556
2019-05-06,BYDDY,0.030000068262633236,36.76174507274923
2019-05-07,BYDDY,0.030801952515540524,28.523781413034484
2019-05-08,BYDDY,0.030779780639186946,26.991816596120998
2019-05-09,BYDDY,0.030532179300757967,23.86908792373363
2019-05-10,BYDDY,0.030570900256874683,30.240519530163596
2019-05-13,BYDDY,0.031627690699671536,22.05050500039711
2019-05-14,BYDDY,0.03219222788186181,33.6599390400239
2019-05-15,BYDDY,0.032262874756053876,36.764667269192344
2019-05-16,BYDDY,0.018195872360349523,36.51810038118036
2019-05-17,BYDDY,0.018737185816748225,28.05370334001769
2019-05-20,BYDDY,0.019106253354044343,23.00535793119954
2019-05-21,BYDDY,0.01985042367477025,30.654677807673423
2019-05-22,BYDDY,0.019277120794474426,28.359832941298876
2019-05-23,BYDDY,0.019519904682732705,22.268739584528205
2019-05-24,BYDDY,0.019577176771089506,28.77200529413122
2019-05-28,BYDDY,0.022297553746675167,45.92433971191587
2019-05-29,BYDDY,0.0222725314555911,47.200091744313994
2019-05-30,BYDDY,0.022291607812629146,42.82830062137558
2019-05-31,BYDDY,0.022586030325704737,35.49433837458977
2019-06-03,BYDDY,0.022637402069065633,41.475436791055486
2019-06-04,BYDDY,0.02129454920139936,38.71423858043566
2019-06-05,BYDDY,0.020526874858243845,34.71418626694117
2019-06-06,BYDDY,0.023463397349440807,54.06410551954366
2019-06-07,BYDDY,0.0235066221874128,58.36278730658672
2019-06-10,BYDDY,0.023506313613487175,52.617851611010046
2019-06-11,BYDDY,0.02199898227180485,57.69168241709472
2019-06-12,BYDDY,0.021899179604850185,48.22752739535097
2019-06-13,BYDDY,0.021852334414026394,45.36521471044847
2019-06-14,BYDDY,0.022289053514441604,37.87275874451321
2019-06-17,BYDDY,0.02144590135057225,42.50800620496889
2019-06-18,BYDDY,0.02096152996850343,50.289168304345644
2019-06-19,BYDDY,0.020734970034247808,52.15688398228124
2019-06-20,BYDDY,0.021035712564365844,60.39798788512311
2019-06-21,BYDDY,0.019555463262755302,57.08854999516308
2019-06-24,BYDDY,0.019454516676602182,56.57766194707974
2019-06-25,BYDDY,0.01760189108865205,48.988310607811535
2019-06-26,BYDDY,0.017605851607882368,46.58471263055988
2019-06-27,BYDDY,0.01738538498533029,48.33934305221969
2019-06-28,BYDDY,0.01666356153452401,57.911301189628176
2019-07-01,BYDDY,0.01659823336715615,63.54078967667055
2019-07-02,BYDDY,0.016926350135221837,72.13990926778747
2019-07-03,BYDDY,0.016474376172822724,74.04193765811982
2019-07-05,BYDDY,0.014745430698405637,53.99217989559536
2019-07-08,BYDDY,0.015306116135866622,42.99971049501074
2019-07-09,BYDDY,0.015539686903440094,51.80541397104693
2019-07-10,BYDDY,0.015323783397528707,55.57633727607178
2019-07-11,BYDDY,0.014623571480603413,49.73889597845938
2019-07-12,BYDDY,0.01448342787912718,50.20309315138029
2019-07-15,BYDDY,0.013531284930971417,56.66832345300122
2019-07-16,BYDDY,0.01355591070918144,53.24952246556968
2019-07-17,BYDDY,0.013468546497668911,61.693721509838646
2019-07-18,BYDDY,0.01397372845092718,51.52136063091394
2019-07-19,BYDDY,0.01326107729338906,53.01132537219735
2019-07-22,BYDDY,0.013240651810465532,57.0708208138707
2019-07-23,BYDDY,0.014278776594658725,69.033110375548
2019-07-24,BYDDY,0.01387115125927596,71.67690943393782
2019-07-25,BYDDY,0.014329984221521947,59.879493803137315
2019-07-26,BYDDY,0.015659146717067956,71.57556507497499
