Date,Ticker,momentum_20d,momentum_60d,volatility_20d,rsi_14d,future_return,target_rank
2019-03-29,BYDDY,-0.055598996951542246,-0.021103671722537465,0.31311713822577536,31.966314259641337,0.11774465296794734,0.8888888888888888
2019-03-29,F,-0.001137451784447352,0.13075483655645437,0.24700786243116415,58.967725099204685,0.19425497676423853,1.0
2019-03-29,GM,-0.05215821152555444,0.11379875551438734,0.2003405519988977,43.360168321429896,0.07843667574219793,0.5555555555555556
2019-03-29,HMC,-0.0342395116679004,0.03396171749044696,0.15611519301455076,47.008329608711264,0.030916402155254152,0.3333333333333333
2019-03-29,NIO,-0.49304178012878397,-0.17741934491493916,0.9355154665239273,24.65628413177903,-0.023529389765297948,0.2222222222222222
2019-03-29,STLA,0.006097581212529679,0.03628746101265223,0.32669678155450876,52.21991608741416,0.09357411340350263,0.6666666666666666
2019-03-29,TM,-0.019278704874798547,0.014963895695853102,0.13325063598606143,35.332909400578416,0.04905951531924102,0.4444444444444444
2019-03-29,TSLA,-0.050646192900248965,-0.09757516043205028,0.3814170585052899,55.402068088363045,-0.13717575550388594,0.1111111111111111
2019-03-29,VWAGY,-0.09526465880662871,0.04923111159059479,0.22382698861173853,38.50958484122044,0.10357146311832355,0.7777777777777778
2019-04-01,BYDDY,-0.005663655539574042,0.047740579739689926,0.3017955093089498,45.082461912011354,0.10170915525485547,0.8888888888888888
2019-04-01,F,0.01929615968383236,0.17435052491458047,0.25983854713306576,67.58048354591344,0.18236593869195006,1.0
2019-04-01,GM,-0.028414456477484196,0.18247240559012567,0.212067071780224,56.36847607389713,0.03151491875218926,0.5555555555555556
2019-04-01,HMC,0.014615528209154016,0.07598974364653133,0.1652723706929776,66.36054380281949,0.0,0.3333333333333333
2019-04-01,NIO,-0.46728014515352545,-0.1388429960505274,0.9543832331926403,30.38156183367836,-0.06909791379626262,0.2222222222222222
2019-04-01,STLA,0.051760012534396216,0.0800851018972446,0.33094899402717476,62.1601949923245,0.05803642915969154,0.6666666666666666
2019-04-01,TM,0.012329052353900805,0.04561704827413027,0.13340552761384153,51.09928571866585,0.031030907043845923,0.4444444444444444
2019-04-01,TSLA,0.013386631615726952,-0.03722196921933296,0.3844549749676748,65.05749308028548,-0.17459713873972127,0.1111111111111111
2019-04-01,VWAGY,-0.05989851113901534,0.07883494597209051,0.24768165563371117,55.20757424596574,0.07241424267461705,0.7777777777777778
2019-04-02,BYDDY,-0.006344590684620011,0.028735309455560687,0.3011806413685048,55.42853051122134,0.07980879071041569,0.8888888888888888
2019-04-02,F,0.027366034611211232,0.1345257270025879,0.25908125533031057,68.71697220925887,0.16151365948674035,1.0
2019-04-02,GM,-0.027870630333934776,0.14567142602343774,0.21215060610909298,57.227205236123496,0.024861137503904285,0.6666666666666666
2019-04-02,HMC,0.022308011658024984,0.03316369050926182,0.16478740655620003,68.39528743465131,-0.00964287394799812,0.3333333333333333
