Date,Ticker,Adj Close,Volume
2019-01-02,BYDDY,1.977637767791748,471000
2019-01-02,F,5.467739105224609,47494400
2019-01-02,GM,30.77173614501953,7662300
2019-01-02,HMC,21.303207397460938,655900
2019-01-02,NIO,6.199999809265137,8823600
2019-01-02,STLA,7.6719255447387695,5193200
2019-01-02,TM,97.86334228515625,169900
2019-01-02,TSLA,20.674667358398438,174879000
2019-01-02,VWAGY,10.148119926452637,94200
2019-01-03,BYDDY,1.8829295635223389,153000
2019-01-03,F,5.3846869468688965,39172400
2019-01-03,GM,29.500253677368164,11618300
2019-01-03,HMC,21.013587951660156,937000
2019-01-03,NIO,6.050000190734863,7562900
2019-01-03,STLA,7.554141998291016,3522700
2019-01-03,TM,96.49149322509766,309500
2019-01-03,TSLA,20.02400016784668,104478000
2019-01-03,VWAGY,10.129761695861816,90100
2019-01-04,BYDDY,1.9551646709442139,172200
2019-01-04,F,5.592321395874023,43039800
2019-01-04,GM,30.488168716430664,10784000
2019-01-04,HMC,21.9709415435791,826300
2019-01-04,NIO,6.360000133514404,9405600
2019-01-04,STLA,8.025272369384766,13734800
2019-01-04,TM,100.76690673828125,307500
2019-01-04,TSLA,21.179332733154297,110911500
2019-01-04,VWAGY,10.5034818649292,106500
2019-01-07,BYDDY,1.9583747386932373,325200
2019-01-07,F,5.737666130065918,40729400
2019-01-07,GM,31.430349349975586,10722300
2019-01-07,HMC,22.38123893737793,806700
2019-01-07,NIO,6.5,9709000
2019-01-07,STLA,8.126993179321289,3399400
2019-01-07,TM,102.07140350341797,156100
2019-01-07,TSLA,22.33066749572754,113268000
2019-01-07,VWAGY,10.649036407470703,158100
2019-01-08,BYDDY,2.0627152919769287,564000
2019-01-08,F,5.793035507202148,45644000
2019-01-08,GM,31.84198570251465,10532900
2019-01-08,HMC,22.912212371826172,949400
2019-01-08,NIO,6.400000095367432,9603800
2019-01-08,STLA,8.212653160095215,3505100
2019-01-08,TM,102.93827819824219,150400
2019-01-08,TSLA,22.356666564941406,105127500
2019-01-08,VWAGY,10.781476974487305,106900
2019-01-09,BYDDY,1.9904799461364746,274800
2019-01-09,F,6.035277843475342,48404900
2019-01-09,GM,32.18043518066406,9917600
2019-01-09,HMC,23.089204788208008,506000
2019-01-09,NIO,6.630000114440918,11489900
2019-01-09,STLA,8.442865371704102,4199500
2019-01-09,TM,103.4516830444336,139800
2019-01-09,TSLA,22.568666458129883,81493500
2019-01-09,VWAGY,11.119789123535156,140100
2019-01-10,BYDDY,1.9519548416137695,425400
2019-01-10,F,6.000671863555908,39490400
2019-01-10,GM,31.768808364868164,9143700
2019-01-10,HMC,23.2340145111084,471200
2019-01-10,NIO,6.659999847412109,11221100
2019-01-10,STLA,8.571355819702148,5255600
2019-01-10,TM,104.77299499511719,202900
2019-01-10,TSLA,22.99799919128418,90846000
2019-01-10,VWAGY,11.060782432556152,263700
2019-01-11,BYDDY,1.9439277648925781,136800
2019-01-11,F,6.104488849639893,41559900
2019-01-11,GM,34.00991439819336,32257100
2019-01-11,HMC,23.54776954650879,1067500
2019-01-11,NIO,6.590000152587891,6902300
2019-01-11,STLA,8.705199241638184,6081300
2019-01-11,TM,105.26113891601562,135500
2019-01-11,TSLA,23.150667190551758,75586500
2019-01-11,VWAGY,10.923095703125,123000
2019-01-14,BYDDY,1.8379830121994019,460200
2019-01-14,F,6.222149848937988,44833800
2019-01-14,GM,34.4489860534668,14361100
2019-01-14,HMC,23.676488876342773,1172600
2019-01-14,NIO,6.800000190734863,19454100
2019-01-14,STLA,8.651660919189453,2480300
2019-01-14,TM,105.53046417236328,156600
2019-01-14,TSLA,22.293333053588867,78709500
2019-01-14,VWAGY,11.047670364379883,75600
